# Region     : all 
# Cells      : 4096
# Volume     : 1.440000e-11
# Time       	max(T)	max(OH)	max(O)	max(p)	max(U)
0            	3.000000e+02	1.000000e+05	(0.000000e+00 0.000000e+00 0.000000e+00)
1e-08        	3.628190e+02	1.821660e-04	9.133450e-05	1.209620e+05	(2.553020e+00 2.553020e+00 0.000000e+00)
2e-08        	4.240980e+02	3.623990e-04	1.811200e-04	1.414150e+05	(1.006340e+01 1.006340e+01 0.000000e+00)
3e-08        	4.836880e+02	5.407200e-04	2.696610e-04	1.612930e+05	(2.218460e+01 2.218460e+01 0.000000e+00)
4e-08        	5.415380e+02	7.174720e-04	3.576520e-04	1.805280e+05	(3.838370e+01 3.838370e+01 0.000000e+00)
5e-08        	5.976280e+02	8.930730e-04	4.458730e-04	1.989940e+05	(5.793130e+01 5.793130e+01 0.000000e+00)
6e-08        	5.971250e+02	8.770640e-04	4.387210e-04	1.982270e+05	(7.778230e+01 7.778230e+01 0.000000e+00)
2.6e-07      	5.010370e+02	6.875330e-04	3.359560e-04	1.310160e+05	(7.523890e+01 7.524400e+01 0.000000e+00)
4.6e-07      	4.905860e+02	5.878510e-04	2.748950e-04	1.186230e+05	(4.494470e+01 4.496840e+01 0.000000e+00)
6.6e-07      	4.894940e+02	5.158690e-04	2.348620e-04	1.135460e+05	(3.190970e+01 3.191590e+01 0.000000e+00)
8.6e-07      	4.928350e+02	4.620260e-04	2.072990e-04	1.102450e+05	(2.460790e+01 2.458440e+01 0.000000e+00)
1.06e-06     	4.958870e+02	4.216640e-04	1.884170e-04	1.081950e+05	(1.976570e+01 1.974250e+01 0.000000e+00)
1.26e-06     	4.981340e+02	3.901120e-04	1.755020e-04	1.066100e+05	(1.634100e+01 1.632790e+01 0.000000e+00)
1.46e-06     	4.998680e+02	3.640740e-04	1.665190e-04	1.089040e+05	(2.367020e+01 2.365710e+01 0.000000e+00)
1.66e-06     	5.012630e+02	3.416620e-04	1.603260e-04	1.089890e+05	(2.259780e+01 2.259560e+01 0.000000e+00)
1.86e-06     	5.024750e+02	3.219480e-04	1.562060e-04	1.079390e+05	(1.812090e+01 1.813950e+01 0.000000e+00)
2.06e-06     	5.035080e+02	3.043680e-04	1.536590e-04	1.057740e+05	(1.274100e+01 1.873270e+01 0.000000e+00)
2.26e-06     	5.044000e+02	2.885740e-04	1.523270e-04	1.025990e+05	(1.316420e+01 2.289310e+01 0.000000e+00)
2.46e-06     	5.051550e+02	2.741870e-04	1.519500e-04	1.024220e+05	(1.003340e+01 1.289830e+01 0.000000e+00)
2.66e-06     	5.055410e+02	2.613060e-04	1.523720e-04	1.032120e+05	(8.108700e+00 1.206630e+01 0.000000e+00)
2.86e-06     	5.049780e+02	2.499140e-04	1.535490e-04	1.043110e+05	(8.895570e+00 9.268310e+00 0.000000e+00)
3.06e-06     	5.035030e+02	2.399910e-04	1.554500e-04	1.042190e+05	(1.224880e+01 9.307590e+00 0.000000e+00)
3.26e-06     	5.029800e+02	2.312460e-04	1.578240e-04	1.037070e+05	(1.198800e+01 8.640930e+00 0.000000e+00)
